U_1,I_1,U_2,I_2,U_3,I_3,U_4,I_4
-2,-1.3,-2.4,-0.9,-2.75,-0.5,-3.1,-0.2
-2,-1.25,-2.4,-0.85,-2.75,-0.5,-3.1,-0.15
-2,-1.25,-2.4,-0.85,-2.75,-0.5,-3.1,-0.15
-1.95,-1.25,-2.4,-0.8,-2.75,-0.45,-3.05,-0.15
-1.95,-1.2,-2.4,-0.8,-2.75,-0.45,-3.05,-0.15
-1.95,-1.2,-2.4,-0.75,-2.7,-0.45,-3,-0.15
-1.95,-1.2,-2.4,-0.75,-2.7,-0.45,-3,-0.15
-1.95,-1.2,-2.4,-0.75,-2.7,-0.45,-3,-0.15
-1.95,-1.15,-2.35,-0.75,-2.7,-0.4,-2.95,-0.15
-1.95,-1.15,-2.35,-0.75,-2.7,-0.4,-2.95,-0.15
-1.95,-1.1,-2.35,-0.7,-2.65,-0.35,-2.95,-0.1
-1.95,-1.1,-2.35,-0.7,-2.65,-0.35,-2.95,-0.1
-1.95,-1.05,-2.35,-0.65,-2.65,-0.35,-2.9,-0.1
-1.95,-1.05,-2.35,-0.65,-2.65,-0.35,-2.9,-0.1
-1.95,-1.05,-2.35,-0.65,-2.65,-0.35,-2.9,-0.1
-1.9,-1.05,-2.3,-0.65,-2.65,-0.3,-2.85,-0.1
-1.9,-1.05,-2.3,-0.65,-2.65,-0.3,-2.85,-0.1
-1.9,-1,-2.3,-0.6,-2.6,-0.3,-2.8,-0.1
-1.9,-1,-2.3,-0.6,-2.6,-0.3,-2.8,-0.1
-1.9,-0.95,-2.3,-0.55,-2.6,-0.25,-2.8,-0.05
-1.9,-0.95,-2.3,-0.55,-2.6,-0.25,-2.8,-0.05
-1.9,-0.95,-2.3,-0.55,-2.6,-0.25,-2.8,-0.05
-1.9,-0.9,-2.25,-0.55,-2.55,-0.25,-2.75,-0.05
-1.9,-0.9,-2.25,-0.55,-2.55,-0.25,-2.75,-0.05
-1.9,-0.85,-2.25,-0.5,-2.5,-0.25,-2.7,-0.05
