U_1,I_1,U_2,I_2,U_3,I_3,U_4,I_4
0.75,3.35,0.7,3.4,0.7,3.4,0.75,3.35
0.75,3.4,0.7,3.45,0.7,3.45,0.75,3.4
0.75,3.4,0.7,3.45,0.7,3.45,0.75,3.4
0.75,3.4,0.7,3.45,0.7,3.45,0.75,3.4
0.75,3.45,0.7,3.5,0.7,3.5,0.75,3.45
0.75,3.45,0.7,3.5,0.7,3.5,0.75,3.45
0.75,3.5,0.7,3.55,0.7,3.55,0.75,3.5
0.75,3.5,0.7,3.55,0.7,3.55,0.75,3.5
0.75,3.55,0.7,3.6,0.7,3.6,0.75,3.55
0.75,3.55,0.7,3.6,0.7,3.6,0.75,3.55
0.75,3.6,0.7,3.65,0.7,3.65,0.75,3.6
0.75,3.6,0.7,3.65,0.7,3.65,0.75,3.6
0.75,3.6,0.7,3.65,0.7,3.65,0.75,3.6
0.75,3.65,0.7,3.7,0.7,3.7,0.75,3.65
0.75,3.65,0.7,3.7,0.7,3.7,0.75,3.65
0.75,3.7,0.7,3.75,0.7,3.75,0.75,3.7
0.75,3.7,0.7,3.75,0.7,3.75,0.75,3.7
0.75,3.75,0.7,3.8,0.7,3.8,0.75,3.75
0.75,3.75,0.7,3.8,0.7,3.8,0.75,3.75
0.75,3.75,0.7,3.8,0.7,3.8,0.75,3.75
0.75,3.8,0.7,3.85,0.7,3.85,0.75,3.8
0.75,3.8,0.7,3.85,0.7,3.85,0.75,3.8
0.75,3.85,0.7,3.85,0.7,3.9,0.75,3.85
0.75,3.85,0.7,3.9,0.7,3.9,0.75,3.85
0.75,3.9,0.75,3.95,0.7,3.95,0.75,3.9
0.75,3.9,0.7,3.95,0.7,3.95,0.75,3.9
0.75,3.9,0.75,3.95,0.7,3.95,0.75,3.9
0.75,3.95,0.75,4,0.7,4,0.75,3.95
0.75,3.95,0.7,4,0.7,4,0.75,3.95
0.75,4,0.75,4,0.75,4.05,0.75,4
0.75,4,0.7,4,0.75,4.05,0.75,4
0.75,4.05,0.75,4.1,0.75,4.1,0.75,4.05
0.75,4.05,0.75,4.05,0.75,4.1,0.75,4.05
0.75,4.05,0.75,4.15,0.75,4.1,0.75,4.1
0.75,4.1,0.75,4.15,0.75,4.15,0.75,4.1
0.75,4.1,0.75,4.15,0.7,4.1,0.75,4.1
0.75,4.15,0.75,4.15,0.75,4.15,0.75,4.15
0.75,4.15,0.75,4.15,0.7,4.2,0.75,4.15
0.75,4.2,0.75,4.2,0.75,4.25,0.75,4.2
0.8,4.2,0.75,4.25,0.75,4.25,0.75,4.2
0.75,4.2,0.75,4.25,0.75,4.25,0.75,4.25
