Zeit t ;U_A1;U_B1
27,2;7,84;10,04
27,3;7,87;10,035
27,4;7,895;10,035
27,5;7,915;10,045
27,6;7,915;10,075
27,7;7,915;10,07
27,8;7,92;10,07
27,9;7,92;10,08
28;7,92;10,085
28,1;7,92;10,08
28,2;7,92;10,085
28,3;7,92;10,085
28,4;7,92;10,085
28,5;7,92;10,085
28,6;7,92;10,085
28,7;7,92;10,085
28,8;7,92;10,085
28,9;7,92;10,085
29;7,92;10,085
29,1;7,92;10,09
29,2;7,92;10,09
29,3;7,92;10,09
29,4;7,92;10,09
29,5;7,92;10,09
29,6;7,92;10,09
29,7;7,92;10,09
29,8;7,92;10,09
29,9;7,92;10,09
30;7,92;10,09
